,date,XHB.US_5,EWU.US_5,JNK.US_5,XLP.US_5,IEV.US_5,UDOW.US_5,XRT.US_5,FXA.US_5,SLV.US_5,FXE.US_5,XLU.US_5,XLK.US_5,ECH.US_5,GSG.US_5,XLV.US_5,XLY.US_5,IBB.US_5,EWG.US_5,COPX.US_5,SOXX.US_5,SVXY.US_5,FEZ.US_5,XLF.US_5,EMB.US_5,XOP.US_5,VNQI.US_5,cash,prt_value
118,2019-11-11 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
119,2019-11-11 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
120,2019-11-12 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
121,2019-11-12 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
122,2019-11-12 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
123,2019-11-12 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
124,2019-11-12 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
125,2019-11-12 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
126,2019-11-12 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
127,2019-11-12 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
128,2019-11-13 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
129,2019-11-13 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
130,2019-11-13 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
131,2019-11-13 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
132,2019-11-13 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
133,2019-11-13 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
134,2019-11-13 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
135,2019-11-13 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10000000.0
